id_department,department_name,terrain_area,old_antenna,new_antenna_type
29,Tolima,1510600,2,a
24,Quindio,163400,14,d
27,Santander,1595200,17,d
28,Sucre,393800,5,a
11,Cesar,940000,26,c
22,Norte de Santander,1058000,13,a
17,Huila,433000,3,b
12,Choco,1660800,12,c
5,Bolivar,75200,11,d
13,Cordoba,1937400,28,a
32,Vichada,607800,15,c
32,Vichada,1439800,2,b
3,Arauca,1758200,20,e
20,Meta,1063600,23,a
23,Putumayo,1226200,2,a
31,Vaupes,1554600,21,b
15,Guainia,446400,4,d
8,Caqueta,115000,12,a
1,Amazonas,542400,2,b
15,Guainia,1409000,6,d
1,Amazonas,1639200,29,c
32,Vichada,1652800,18,e
9,Casanare,621600,20,d
18,La Guajira,1188600,17,a
20,Meta,541400,9,c
24,Quindio,678800,23,a
26,San Andres y Providencia,341000,15,e
25,Risaralda,1028000,3,b
31,Vaupes,640600,25,e
12,Choco,705200,8,c
25,Risaralda,1009000,20,a
21,Narino,777600,19,e
17,Huila,1714200,20,c
9,Casanare,1207200,8,d
26,San Andres y Providencia,1047600,6,b
16,Guaviare,431200,10,e
27,Santander,1533600,27,b
31,Vaupes,154400,13,a
30,Valle del Cauca,57000,16,a
10,Cauca,1346000,16,a
27,Santander,1442800,5,b
20,Meta,1844600,8,c
7,Caldas,705600,16,b
21,Narino,1570200,6,c
13,Cordoba,441000,22,d
21,Narino,1027800,20,e
3,Arauca,4000,17,e
13,Cordoba,449800,25,b
5,Bolivar,42200,18,c
28,Sucre,944200,26,b
2,Antioquia,639600,21,c
16,Guaviare,1937400,13,b
7,Caldas,1046600,4,e
5,Bolivar,412000,9,a
26,San Andres y Providencia,983600,24,a
25,Risaralda,199600,17,a
22,Norte de Santander,1697800,17,e
24,Quindio,1325600,14,d
23,Putumayo,688400,19,e
17,Huila,439600,1,c
9,Casanare,697200,13,a
18,La Guajira,11000,0,d
32,Vichada,1391800,19,b
16,Guaviare,98600,5,e
8,Caqueta,124200,8,a
9,Casanare,288400,18,a
29,Tolima,1305200,11,b
14,Cundinamarca,1728600,22,a
12,Choco,1045600,0,c
13,Cordoba,1438000,9,e
32,Vichada,1887800,21,b
12,Choco,1697400,26,c
4,Atlantico,780800,18,c
14,Cundinamarca,1665400,19,e
25,Risaralda,1166400,15,a
1,Amazonas,836600,11,c
8,Caqueta,289800,8,b
6,Boyaca,426000,28,c
19,Magdalena,1308200,10,e
24,Quindio,182400,9,c
20,Meta,1002200,16,d
26,San Andres y Providencia,700600,26,e
20,Meta,636200,22,d
26,San Andres y Providencia,150200,6,e
10,Cauca,1809400,30,c
25,Risaralda,1118600,5,a
28,Sucre,1917600,20,b
22,Norte de Santander,191600,27,d
29,Tolima,199000,22,b
21,Narino,713200,14,d
31,Vaupes,952800,14,e
16,Guaviare,1002600,3,c
15,Guainia,120200,12,c
27,Santander,1245400,17,b
9,Casanare,703200,25,a
4,Atlantico,1318600,4,a
21,Narino,1977400,8,a
22,Norte de Santander,348000,1,a
16,Guaviare,429200,10,b
1,Amazonas,1535200,2,b
9,Casanare,795000,26,c
15,Guainia,484800,20,c
21,Narino,4200,15,a
7,Caldas,651600,9,d
19,Magdalena,1640800,29,e
14,Cundinamarca,1533600,24,a
18,La Guajira,415400,3,d
20,Meta,1177800,5,a
24,Quindio,1235600,6,c
17,Huila,957400,6,c
1,Amazonas,1555200,14,c
31,Vaupes,80600,24,d
22,Norte de Santander,762000,17,b
19,Magdalena,756200,10,e
3,Arauca,981400,8,a
19,Magdalena,56400,27,d
29,Tolima,853600,2,d
2,Antioquia,410200,28,d
9,Casanare,1993000,11,d
28,Sucre,1393000,10,e
10,Cauca,1582000,22,c
19,Magdalena,1417000,12,c
31,Vaupes,615400,12,e
5,Bolivar,1630800,29,a
30,Valle del Cauca,149000,7,a
19,Magdalena,133400,23,e
14,Cundinamarca,243400,9,d
13,Cordoba,254200,22,b
27,Santander,1527000,23,c
2,Antioquia,1377200,12,c
20,Meta,165800,23,b
12,Choco,1746200,7,d
20,Meta,1528200,7,e
3,Arauca,1784000,6,e
28,Sucre,541000,7,d
6,Boyaca,386000,1,d
27,Santander,610600,6,d
2,Antioquia,273800,22,d
7,Caldas,516200,23,b
1,Amazonas,127400,12,a
5,Bolivar,146800,16,d
4,Atlantico,708200,30,a
24,Quindio,1143800,5,c
14,Cundinamarca,807000,9,d
29,Tolima,1465400,30,e
31,Vaupes,640400,29,b
20,Meta,439000,30,e
12,Choco,1014600,13,b
6,Boyaca,758000,0,a
18,La Guajira,1922600,24,a
23,Putumayo,1536000,17,c
12,Choco,200000,4,b
29,Tolima,760800,21,b
23,Putumayo,1156800,15,e
17,Huila,1527400,19,c
1,Amazonas,512400,21,d
12,Choco,1953600,24,b
8,Caqueta,1437000,16,d
1,Amazonas,1119200,27,c
24,Quindio,1883200,1,d
13,Cordoba,41200,21,e
25,Risaralda,527600,1,d
15,Guainia,459600,22,c
15,Guainia,1239400,4,b
22,Norte de Santander,1300800,22,a
12,Choco,1892800,23,a
23,Putumayo,202800,22,b
29,Tolima,187000,27,d
15,Guainia,38200,19,d
25,Risaralda,1188400,12,e
19,Magdalena,1842200,13,b
23,Putumayo,883000,3,b
21,Narino,565800,14,c
31,Vaupes,1090800,11,d
28,Sucre,832800,12,b
1,Amazonas,514400,13,e
2,Antioquia,925800,11,d
26,San Andres y Providencia,645200,27,e
5,Bolivar,936000,24,b
5,Bolivar,948800,4,e
10,Cauca,883800,20,a
16,Guaviare,1800000,8,b
15,Guainia,624800,17,b
14,Cundinamarca,205000,14,d
20,Meta,124400,16,b
32,Vichada,1260600,12,d
16,Guaviare,1122000,3,c
32,Vichada,1651600,21,e
12,Choco,1081200,3,a
2,Antioquia,541800,14,e
27,Santander,859600,29,b
28,Sucre,1428000,16,b
11,Cesar,227000,22,d
6,Boyaca,425600,3,c
17,Huila,633400,3,c
22,Norte de Santander,786000,13,e
8,Caqueta,1154800,17,e
9,Casanare,1918400,26,b
15,Guainia,1194400,26,d
30,Valle del Cauca,308400,30,d
16,Guaviare,458800,24,e
25,Risaralda,878200,7,d
27,Santander,1301400,16,e
29,Tolima,947200,29,b
4,Atlantico,690200,10,c
17,Huila,869000,21,a
28,Sucre,549400,16,d
12,Choco,708200,10,a
9,Casanare,2800,17,a
8,Caqueta,1106200,15,b
29,Tolima,1914200,5,a
29,Tolima,1378000,22,b
26,San Andres y Providencia,1949600,4,a
31,Vaupes,631200,27,a
12,Choco,890800,27,e
17,Huila,1906000,18,e
29,Tolima,180200,27,d
12,Choco,694600,4,d
11,Cesar,1625000,3,d
15,Guainia,1693000,5,b
26,San Andres y Providencia,64600,20,e
21,Narino,298600,10,c
16,Guaviare,978400,7,a
14,Cundinamarca,1531400,28,d
15,Guainia,986000,13,a
28,Sucre,1638800,21,c
8,Caqueta,1547000,21,d
11,Cesar,1503600,11,c
2,Antioquia,1521200,19,e
29,Tolima,1891400,23,d
6,Boyaca,1879400,30,e
15,Guainia,853200,11,b
27,Santander,1784600,13,e
24,Quindio,53000,28,e
12,Choco,1783800,16,d
30,Valle del Cauca,1141000,10,c
14,Cundinamarca,975800,10,b
30,Valle del Cauca,573600,21,c
23,Putumayo,135800,0,b
32,Vichada,168600,28,b
12,Choco,524400,2,a
16,Guaviare,209000,10,e
13,Cordoba,1390000,24,a
31,Vaupes,338600,30,a
1,Amazonas,558000,12,a
5,Bolivar,303200,10,c
28,Sucre,742200,27,a
27,Santander,811200,16,b
12,Choco,109600,25,c
14,Cundinamarca,1942000,26,b
